オッズパーク いちいちIDとかを入れないと入れない前のアプリの方が使い勝手が良かった。
今までは毎日動画を見てＳＰポイントを貯めて、みたいものの新作を先読みしていたのにそれが出来なくなったのが非常に残念です。
漫画の種類は他にないものがあったりですごく楽しみにして読んでいたのでその点だけ再度考慮して頂きたいです。"
広告 動画観てSPゲットとかの広告観ようとすると表示されるのが凄く遅い、そ言う所は、しっかりしてほしい
UIとシステムが微妙なアプリ "面白い漫画もある。ただそれは漫画家がすごいだけ。
漫画検索機能が全く充実しておらず、わかりやすく漫画を探せない。また、最近は0時に1話だけ無料開放される漫画が多く、日々のライフが使い切れない。
いろんな漫画を読んでほしいという意図だろうが、検索ができないためそもそも新しい漫画を探さない。

ライフがあればライフ分だけ読めた頃は先が気になり課金していたが、0時に1話無料システムではストレスが溜まるだけで課金する気も起きない。"
看板作品が何本か "本当に面白い作品が何本かある
読み返しでSPポイントが必要になってからアプリを開く頻度が減ってしまった
他の漫画アプリとの結構大きな差になってしまったと思う"
誇大広告では？ "アプリのプレビュー画像や概要の説明欄に現在は読めない漫画のタイトルが載せてあるのはすごくタチが悪いと感じました

ただ、ダウンロードしてすぐに「運営がちゃんと機能していないor騙すつもりしかない」のだということが知れたので★+1しています"
直せば良き 前までは０時に無料で読める漫画が読めたのですが、今何故か読めません。改善して欲しいです。それ以外は良きです。
使い勝手が悪すぎます 他社のマンガアプリと比較するとかなり使い勝手が悪いです。
ライフがあっても ライフがあっても読めない作品が多い！（チケットが無いと読めない）
1日1回ライフのもらえる "広告視聴ができません🥺
ダウンロードし直してもだめでした…"
動画を読み込まない "他のアプリは正常に動くので通信環境の問題ではないと思うのですが、
こちらの「動画を再生する」をタップしたとき延々と読み込み中の表示になることがよくあります。"
